formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Al0.25 Co1 Fe1 Ni1,CAST,FCC,25.0,7.69,30.77,0.0,0.0,30.77,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,7.9,,158.0,,,192.0
Al0.5 Co1 Fe1 Ni1,CAST,other,25.0,14.29,28.57,0.0,0.0,28.57,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,7.4,,346.0,,,
Al0.75 Co1 Fe1 Ni1,CAST,other,25.0,20.0,26.67,0.0,0.0,26.67,0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,7.0,,794.0,,,
Al1 Co1 Fe1 Ni1,CAST,BCC,25.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,6.6,,964.0,,,162.0
Co1 Fe1 Ni1,CAST,FCC,25.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,8.5,,204.0,,,207.0
Co1 Fe1 Ni1,CAST,FCC,25.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,8.5,,209.0,,,207.0
Co1 Fe1 Ni1 Si0.25,CAST,FCC,25.0,0.0,30.77,0.0,0.0,30.77,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,149.0,7.7,,196.0,,,186.0
Co1 Fe1 Ni1 Si0.5,CAST,other,25.0,0.0,28.57,0.0,0.0,28.57,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,287.0,7.1,,476.0,,,
Co1 Fe1 Ni1 Si0.75,CAST,other,25.0,0.0,26.67,0.0,0.0,26.67,0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,570.0,6.6,,1301.0,,,
Co1 Cr1 Fe1 Ni1,WROUGHT,FCC,25.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.2,24.0,274.0,708.0,39.0,226.0
Co1 Cr1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.1,36.0,282.0,694.0,44.0,222.0
Co1 Cr1 Ni1,WROUGHT,FCC,25.0,0.0,33.33,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.3,41.0,300.0,860.0,60.0,231.0
Co1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.2,48.0,170.0,550.0,41.0,204.0
Co1 Fe1 Ni1,WROUGHT,FCC,25.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.5,28.0,211.0,513.0,31.0,207.0
Co1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,33.33,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.4,32.0,231.0,653.0,38.0,202.0
Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.1,30.0,221.0,602.0,36.0,203.0
Co1 Cr1 Fe1 Nb0.103 Ni1,CAST,other,25.0,0.0,24.37,24.37,0.0,24.37,0.0,24.37,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,318.0,622.0,19.0,
Co1 Cr1 Fe1 Nb0.155 Ni1,CAST,other,25.0,0.0,24.07,24.07,0.0,24.07,0.0,24.07,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,322.0,744.0,23.0,
Co1 Cr1 Fe1 Nb0.206 Ni1,CAST,other,25.0,0.0,23.78,23.78,0.0,23.78,0.0,23.78,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,403.0,807.0,9.0,
Co1 Cr1 Fe1 Nb0.309 Ni1,CAST,other,25.0,0.0,23.21,23.21,0.0,23.21,0.0,23.21,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,479.0,879.0,4.0,
Co1 Cr1 Fe1 Nb0.412 Ni1,CAST,other,25.0,0.0,22.67,22.67,0.0,22.67,0.0,22.67,0.0,0.0,0.0,9.34,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,638.0,1004.0,1.0,
Co1 Cr1 Fe1 Ni1,CAST,FCC,25.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.2,175.0,148.0,413.0,48.0,226.0
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,CAST,other,25.0,9.09,18.18,18.18,0.0,18.18,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.6,,,1600.0,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,CAST,other,25.0,23.07,15.39,15.39,0.0,15.39,0.0,15.39,15.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.9,,,2110.0,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,CAST,other,25.0,28.57,14.29,14.29,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,5.6,,,1030.0,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,CAST,other,25.0,16.67,16.67,16.67,0.0,16.67,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.2,0.15,,2280.0,,
Co1 Cr1 Fe1 Ni1 Ti1,CAST,FCC,25.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2,,,2020.0,,195.0
